id,sleep_day,total_sleep_records,total_minutes_asleep,total_time_in_bed,activity_date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,day_of_the_week,total_hours_asleep,total_hours_in_bed,total_exercise_minutes,total_exercise_hours,Performance
1503960366,2016-04-13,2,384,407,2016-04-26,13755,8.78999996185303,8.78999996185303,0.0,2.32999992370605,0.920000016689301,5.53999996185303,0.0,31,23,279,833,1970,Tuesday,6.0,7.0,1166,19.0,3.2
1503960366,2016-04-13,2,384,407,2016-04-27,18134,12.210000038147,12.210000038147,0.0,6.40000009536743,0.409999996423721,5.40999984741211,0.0,78,11,243,1108,2159,Wednesday,6.0,7.0,1440,24.0,6.8
1503960366,2016-04-13,2,384,407,2016-04-23,14371,9.03999996185303,9.03999996185303,0.0,2.80999994277954,0.870000004768372,5.3600001335144,0.0,41,21,262,732,1949,Saturday,6.0,7.0,1056,18.0,3.7
1503960366,2016-04-13,2,384,407,2016-05-10,12207,7.76999998092651,7.76999998092651,0.0,3.34999990463257,1.1599999666214,3.25999999046326,0.0,46,31,214,746,1859,Tuesday,6.0,7.0,1037,17.0,4.5
1503960366,2016-04-13,2,384,407,2016-05-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,Thursday,6.0,7.0,1440,24.0,0.0
1503960366,2016-04-13,2,384,407,2016-05-08,10060,6.57999992370605,6.57999992370605,0.0,3.52999997138977,0.319999992847443,2.73000001907349,0.0,44,8,203,574,1740,Sunday,6.0,7.0,829,14.0,3.8
1503960366,2016-04-13,2,384,407,2016-05-09,12022,7.71999979019165,7.71999979019165,0.0,3.45000004768372,0.529999971389771,3.74000000953674,0.0,46,11,206,835,1819,Monday,6.0,7.0,1098,18.0,4.0
1503960366,2016-04-13,2,384,407,2016-05-02,14727,9.71000003814697,9.71000003814697,0.0,3.21000003814697,0.569999992847443,5.92000007629395,0.0,41,15,277,798,2004,Monday,6.0,7.0,1131,19.0,3.8
1503960366,2016-04-13,2,384,407,2016-05-11,12770,8.13000011444092,8.13000011444092,0.0,2.55999994277954,1.00999999046326,4.55000019073486,0.0,36,23,251,669,1783,Wednesday,6.0,7.0,979,16.0,3.6
1503960366,2016-04-13,2,384,407,2016-04-16,12669,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,1863,Saturday,6.0,7.0,1040,17.0,3.1
1503960366,2016-04-13,2,384,407,2016-04-17,9705,6.48000001907349,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38,20,164,539,1728,Sunday,6.0,7.0,761,13.0,4.0
1503960366,2016-04-13,2,384,407,2016-04-22,12764,8.13000011444092,8.13000011444092,0.0,4.76000022888184,1.12000000476837,2.24000000953674,0.0,66,27,130,1217,1827,Friday,6.0,7.0,1440,24.0,5.9
1503960366,2016-04-13,2,384,407,2016-04-14,10460,6.73999977111816,6.73999977111816,0.0,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30,11,181,1218,1776,Thursday,6.0,7.0,1440,24.0,2.8
1503960366,2016-04-13,2,384,407,2016-05-04,11100,7.15000009536743,7.15000009536743,0.0,2.46000003814697,0.870000004768372,3.8199999332428,0.0,36,22,203,1179,1819,Wednesday,6.0,7.0,1440,24.0,3.3
1503960366,2016-04-13,2,384,407,2016-04-24,10039,6.40999984741211,6.40999984741211,0.0,2.92000007629395,0.209999993443489,3.27999997138977,0.0,39,5,238,709,1788,Sunday,6.0,7.0,991,17.0,3.1
1503960366,2016-04-13,2,384,407,2016-04-21,9819,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,1775,Thursday,6.0,7.0,1076,18.0,1.7
1503960366,2016-04-13,2,384,407,2016-04-18,13019,8.59000015258789,8.59000015258789,0.0,3.25,0.639999985694885,4.71000003814697,0.0,42,16,233,1149,1921,Monday,6.0,7.0,1440,24.0,3.9
1503960366,2016-04-13,2,384,407,2016-04-15,9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745,Friday,6.0,7.0,998,17.0,3.4
1503960366,2016-04-13,2,384,407,2016-04-20,10544,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,1786,Wednesday,6.0,7.0,1063,18.0,2.4
1503960366,2016-04-13,2,384,407,2016-05-03,15103,9.65999984741211,9.65999984741211,0.0,3.73000001907349,1.04999995231628,4.88000011444092,0.0,50,24,254,816,1990,Tuesday,6.0,7.0,1144,19.0,4.8
1503960366,2016-04-13,2,384,407,2016-04-19,15506,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,2035,Tuesday,6.0,7.0,1120,19.0,4.9
1503960366,2016-04-15,1,412,442,2016-05-07,11992,7.71000003814697,7.71000003814697,0.0,2.46000003814697,2.11999988555908,3.13000011444092,0.0,37,46,175,833,1821,Saturday,7.0,7.0,1091,18.0,4.6
1503960366,2016-04-15,1,412,442,2016-05-06,12159,8.02999973297119,8.02999973297119,0.0,1.97000002861023,0.25,5.80999994277954,0.0,24,6,289,754,1896,Friday,7.0,7.0,1073,18.0,2.2
1503960366,2016-04-15,1,412,442,2016-05-01,10602,6.80999994277954,6.80999994277954,0.0,2.28999996185303,1.60000002384186,2.92000007629395,0.0,33,35,246,730,1820,Sunday,7.0,7.0,1044,17.0,3.9
1503960366,2016-04-15,1,412,442,2016-04-30,14673,9.25,9.25,0.0,3.55999994277954,1.41999995708466,4.26999998092651,0.0,52,34,217,712,1947,Saturday,7.0,7.0,1015,17.0,5.0
1503960366,2016-04-15,1,412,442,2016-04-12,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,Tuesday,7.0,7.0,1094,18.0,2.4
1503960366,2016-04-15,1,412,442,2016-04-13,10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797,Wednesday,7.0,7.0,1033,17.0,2.3
1503960366,2016-04-15,1,412,442,2016-04-25,15355,9.80000019073486,9.80000019073486,0.0,5.28999996185303,0.569999992847443,3.94000005722046,0.0,73,14,216,814,2013,Monday,7.0,7.0,1117,19.0,5.9
1503960366,2016-04-15,1,412,442,2016-05-05,14070,8.89999961853027,8.89999961853027,0.0,2.92000007629395,1.08000004291534,4.88000011444092,0.0,45,24,250,857,1959,Thursday,7.0,7.0,1176,20.0,4.0
1503960366,2016-04-15,1,412,442,2016-04-28,13154,8.52999973297119,8.52999973297119,0.0,3.53999996185303,1.1599999666214,3.78999996185303,0.0,48,28,189,782,1898,Thursday,7.0,7.0,1047,17.0,4.7
1503960366,2016-04-15,1,412,442,2016-04-29,11181,7.15000009536743,7.15000009536743,0.0,1.05999994277954,0.5,5.57999992370605,0.0,16,12,243,815,1837,Friday,7.0,7.0,1086,18.0,1.6
1503960366,2016-04-15,1,412,442,2016-04-26,13755,8.78999996185303,8.78999996185303,0.0,2.32999992370605,0.920000016689301,5.53999996185303,0.0,31,23,279,833,1970,Tuesday,7.0,7.0,1166,19.0,3.2
1503960366,2016-04-15,1,412,442,2016-04-27,18134,12.210000038147,12.210000038147,0.0,6.40000009536743,0.409999996423721,5.40999984741211,0.0,78,11,243,1108,2159,Wednesday,7.0,7.0,1440,24.0,6.8
1503960366,2016-04-15,1,412,442,2016-04-23,14371,9.03999996185303,9.03999996185303,0.0,2.80999994277954,0.870000004768372,5.3600001335144,0.0,41,21,262,732,1949,Saturday,7.0,7.0,1056,18.0,3.7
1503960366,2016-04-15,1,412,442,2016-05-10,12207,7.76999998092651,7.76999998092651,0.0,3.34999990463257,1.1599999666214,3.25999999046326,0.0,46,31,214,746,1859,Tuesday,7.0,7.0,1037,17.0,4.5
1503960366,2016-04-15,1,412,442,2016-05-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,Thursday,7.0,7.0,1440,24.0,0.0
1503960366,2016-04-15,1,412,442,2016-05-08,10060,6.57999992370605,6.57999992370605,0.0,3.52999997138977,0.319999992847443,2.73000001907349,0.0,44,8,203,574,1740,Sunday,7.0,7.0,829,14.0,3.8
1503960366,2016-04-15,1,412,442,2016-05-09,12022,7.71999979019165,7.71999979019165,0.0,3.45000004768372,0.529999971389771,3.74000000953674,0.0,46,11,206,835,1819,Monday,7.0,7.0,1098,18.0,4.0
1503960366,2016-04-15,1,412,442,2016-05-02,14727,9.71000003814697,9.71000003814697,0.0,3.21000003814697,0.569999992847443,5.92000007629395,0.0,41,15,277,798,2004,Monday,7.0,7.0,1131,19.0,3.8
1503960366,2016-04-15,1,412,442,2016-05-11,12770,8.13000011444092,8.13000011444092,0.0,2.55999994277954,1.00999999046326,4.55000019073486,0.0,36,23,251,669,1783,Wednesday,7.0,7.0,979,16.0,3.6
1503960366,2016-04-15,1,412,442,2016-04-16,12669,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,1863,Saturday,7.0,7.0,1040,17.0,3.1
1503960366,2016-04-15,1,412,442,2016-04-17,9705,6.48000001907349,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38,20,164,539,1728,Sunday,7.0,7.0,761,13.0,4.0
1503960366,2016-04-15,1,412,442,2016-04-22,12764,8.13000011444092,8.13000011444092,0.0,4.76000022888184,1.12000000476837,2.24000000953674,0.0,66,27,130,1217,1827,Friday,7.0,7.0,1440,24.0,5.9
1503960366,2016-04-15,1,412,442,2016-04-14,10460,6.73999977111816,6.73999977111816,0.0,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30,11,181,1218,1776,Thursday,7.0,7.0,1440,24.0,2.8
1503960366,2016-04-15,1,412,442,2016-05-04,11100,7.15000009536743,7.15000009536743,0.0,2.46000003814697,0.870000004768372,3.8199999332428,0.0,36,22,203,1179,1819,Wednesday,7.0,7.0,1440,24.0,3.3
1503960366,2016-04-15,1,412,442,2016-04-24,10039,6.40999984741211,6.40999984741211,0.0,2.92000007629395,0.209999993443489,3.27999997138977,0.0,39,5,238,709,1788,Sunday,7.0,7.0,991,17.0,3.1
1503960366,2016-04-15,1,412,442,2016-04-21,9819,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,1775,Thursday,7.0,7.0,1076,18.0,1.7
1503960366,2016-04-15,1,412,442,2016-04-18,13019,8.59000015258789,8.59000015258789,0.0,3.25,0.639999985694885,4.71000003814697,0.0,42,16,233,1149,1921,Monday,7.0,7.0,1440,24.0,3.9
1503960366,2016-04-15,1,412,442,2016-04-15,9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745,Friday,7.0,7.0,998,17.0,3.4
1503960366,2016-04-15,1,412,442,2016-04-20,10544,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,1786,Wednesday,7.0,7.0,1063,18.0,2.4
1503960366,2016-04-15,1,412,442,2016-05-03,15103,9.65999984741211,9.65999984741211,0.0,3.73000001907349,1.04999995231628,4.88000011444092,0.0,50,24,254,816,1990,Tuesday,7.0,7.0,1144,19.0,4.8
1503960366,2016-04-15,1,412,442,2016-04-19,15506,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,2035,Tuesday,7.0,7.0,1120,19.0,4.9
1503960366,2016-04-16,2,340,367,2016-05-07,11992,7.71000003814697,7.71000003814697,0.0,2.46000003814697,2.11999988555908,3.13000011444092,0.0,37,46,175,833,1821,Saturday,6.0,6.0,1091,18.0,4.6
1503960366,2016-04-16,2,340,367,2016-05-06,12159,8.02999973297119,8.02999973297119,0.0,1.97000002861023,0.25,5.80999994277954,0.0,24,6,289,754,1896,Friday,6.0,6.0,1073,18.0,2.2
1503960366,2016-04-16,2,340,367,2016-05-01,10602,6.80999994277954,6.80999994277954,0.0,2.28999996185303,1.60000002384186,2.92000007629395,0.0,33,35,246,730,1820,Sunday,6.0,6.0,1044,17.0,3.9
1503960366,2016-04-16,2,340,367,2016-04-30,14673,9.25,9.25,0.0,3.55999994277954,1.41999995708466,4.26999998092651,0.0,52,34,217,712,1947,Saturday,6.0,6.0,1015,17.0,5.0
1503960366,2016-04-16,2,340,367,2016-04-12,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,Tuesday,6.0,6.0,1094,18.0,2.4
1503960366,2016-04-16,2,340,367,2016-04-13,10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797,Wednesday,6.0,6.0,1033,17.0,2.3
1503960366,2016-04-16,2,340,367,2016-04-25,15355,9.80000019073486,9.80000019073486,0.0,5.28999996185303,0.569999992847443,3.94000005722046,0.0,73,14,216,814,2013,Monday,6.0,6.0,1117,19.0,5.9
1503960366,2016-04-16,2,340,367,2016-05-05,14070,8.89999961853027,8.89999961853027,0.0,2.92000007629395,1.08000004291534,4.88000011444092,0.0,45,24,250,857,1959,Thursday,6.0,6.0,1176,20.0,4.0
1503960366,2016-04-16,2,340,367,2016-04-28,13154,8.52999973297119,8.52999973297119,0.0,3.53999996185303,1.1599999666214,3.78999996185303,0.0,48,28,189,782,1898,Thursday,6.0,6.0,1047,17.0,4.7
1503960366,2016-04-16,2,340,367,2016-04-29,11181,7.15000009536743,7.15000009536743,0.0,1.05999994277954,0.5,5.57999992370605,0.0,16,12,243,815,1837,Friday,6.0,6.0,1086,18.0,1.6
1503960366,2016-04-16,2,340,367,2016-04-26,13755,8.78999996185303,8.78999996185303,0.0,2.32999992370605,0.920000016689301,5.53999996185303,0.0,31,23,279,833,1970,Tuesday,6.0,6.0,1166,19.0,3.2
1503960366,2016-04-16,2,340,367,2016-04-27,18134,12.210000038147,12.210000038147,0.0,6.40000009536743,0.409999996423721,5.40999984741211,0.0,78,11,243,1108,2159,Wednesday,6.0,6.0,1440,24.0,6.8
1503960366,2016-04-16,2,340,367,2016-04-23,14371,9.03999996185303,9.03999996185303,0.0,2.80999994277954,0.870000004768372,5.3600001335144,0.0,41,21,262,732,1949,Saturday,6.0,6.0,1056,18.0,3.7
1503960366,2016-04-16,2,340,367,2016-05-10,12207,7.76999998092651,7.76999998092651,0.0,3.34999990463257,1.1599999666214,3.25999999046326,0.0,46,31,214,746,1859,Tuesday,6.0,6.0,1037,17.0,4.5
1503960366,2016-04-16,2,340,367,2016-05-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,Thursday,6.0,6.0,1440,24.0,0.0
1503960366,2016-04-16,2,340,367,2016-05-08,10060,6.57999992370605,6.57999992370605,0.0,3.52999997138977,0.319999992847443,2.73000001907349,0.0,44,8,203,574,1740,Sunday,6.0,6.0,829,14.0,3.8
1503960366,2016-04-16,2,340,367,2016-05-09,12022,7.71999979019165,7.71999979019165,0.0,3.45000004768372,0.529999971389771,3.74000000953674,0.0,46,11,206,835,1819,Monday,6.0,6.0,1098,18.0,4.0
1503960366,2016-04-16,2,340,367,2016-05-02,14727,9.71000003814697,9.71000003814697,0.0,3.21000003814697,0.569999992847443,5.92000007629395,0.0,41,15,277,798,2004,Monday,6.0,6.0,1131,19.0,3.8
1503960366,2016-04-16,2,340,367,2016-05-11,12770,8.13000011444092,8.13000011444092,0.0,2.55999994277954,1.00999999046326,4.55000019073486,0.0,36,23,251,669,1783,Wednesday,6.0,6.0,979,16.0,3.6
1503960366,2016-04-16,2,340,367,2016-04-16,12669,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,1863,Saturday,6.0,6.0,1040,17.0,3.1
1503960366,2016-04-16,2,340,367,2016-04-17,9705,6.48000001907349,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38,20,164,539,1728,Sunday,6.0,6.0,761,13.0,4.0
1503960366,2016-04-16,2,340,367,2016-04-22,12764,8.13000011444092,8.13000011444092,0.0,4.76000022888184,1.12000000476837,2.24000000953674,0.0,66,27,130,1217,1827,Friday,6.0,6.0,1440,24.0,5.9
1503960366,2016-04-16,2,340,367,2016-04-14,10460,6.73999977111816,6.73999977111816,0.0,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30,11,181,1218,1776,Thursday,6.0,6.0,1440,24.0,2.8
1503960366,2016-04-16,2,340,367,2016-05-04,11100,7.15000009536743,7.15000009536743,0.0,2.46000003814697,0.870000004768372,3.8199999332428,0.0,36,22,203,1179,1819,Wednesday,6.0,6.0,1440,24.0,3.3
1503960366,2016-04-16,2,340,367,2016-04-24,10039,6.40999984741211,6.40999984741211,0.0,2.92000007629395,0.209999993443489,3.27999997138977,0.0,39,5,238,709,1788,Sunday,6.0,6.0,991,17.0,3.1
1503960366,2016-04-16,2,340,367,2016-04-21,9819,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,1775,Thursday,6.0,6.0,1076,18.0,1.7
1503960366,2016-04-16,2,340,367,2016-04-18,13019,8.59000015258789,8.59000015258789,0.0,3.25,0.639999985694885,4.71000003814697,0.0,42,16,233,1149,1921,Monday,6.0,6.0,1440,24.0,3.9
1503960366,2016-04-16,2,340,367,2016-04-15,9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745,Friday,6.0,6.0,998,17.0,3.4
1503960366,2016-04-16,2,340,367,2016-04-20,10544,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,1786,Wednesday,6.0,6.0,1063,18.0,2.4
1503960366,2016-04-16,2,340,367,2016-05-03,15103,9.65999984741211,9.65999984741211,0.0,3.73000001907349,1.04999995231628,4.88000011444092,0.0,50,24,254,816,1990,Tuesday,6.0,6.0,1144,19.0,4.8
1503960366,2016-04-16,2,340,367,2016-04-19,15506,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,2035,Tuesday,6.0,6.0,1120,19.0,4.9
1503960366,2016-04-20,1,360,377,2016-05-07,11992,7.71000003814697,7.71000003814697,0.0,2.46000003814697,2.11999988555908,3.13000011444092,0.0,37,46,175,833,1821,Saturday,6.0,6.0,1091,18.0,4.6
1503960366,2016-04-20,1,360,377,2016-05-06,12159,8.02999973297119,8.02999973297119,0.0,1.97000002861023,0.25,5.80999994277954,0.0,24,6,289,754,1896,Friday,6.0,6.0,1073,18.0,2.2
1503960366,2016-04-20,1,360,377,2016-05-01,10602,6.80999994277954,6.80999994277954,0.0,2.28999996185303,1.60000002384186,2.92000007629395,0.0,33,35,246,730,1820,Sunday,6.0,6.0,1044,17.0,3.9
1503960366,2016-04-20,1,360,377,2016-04-30,14673,9.25,9.25,0.0,3.55999994277954,1.41999995708466,4.26999998092651,0.0,52,34,217,712,1947,Saturday,6.0,6.0,1015,17.0,5.0
1503960366,2016-04-20,1,360,377,2016-04-12,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,Tuesday,6.0,6.0,1094,18.0,2.4
1503960366,2016-04-20,1,360,377,2016-04-13,10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797,Wednesday,6.0,6.0,1033,17.0,2.3
1503960366,2016-04-20,1,360,377,2016-04-25,15355,9.80000019073486,9.80000019073486,0.0,5.28999996185303,0.569999992847443,3.94000005722046,0.0,73,14,216,814,2013,Monday,6.0,6.0,1117,19.0,5.9
1503960366,2016-04-20,1,360,377,2016-05-05,14070,8.89999961853027,8.89999961853027,0.0,2.92000007629395,1.08000004291534,4.88000011444092,0.0,45,24,250,857,1959,Thursday,6.0,6.0,1176,20.0,4.0
1503960366,2016-04-20,1,360,377,2016-04-28,13154,8.52999973297119,8.52999973297119,0.0,3.53999996185303,1.1599999666214,3.78999996185303,0.0,48,28,189,782,1898,Thursday,6.0,6.0,1047,17.0,4.7
1503960366,2016-04-20,1,360,377,2016-04-29,11181,7.15000009536743,7.15000009536743,0.0,1.05999994277954,0.5,5.57999992370605,0.0,16,12,243,815,1837,Friday,6.0,6.0,1086,18.0,1.6
1503960366,2016-04-20,1,360,377,2016-04-26,13755,8.78999996185303,8.78999996185303,0.0,2.32999992370605,0.920000016689301,5.53999996185303,0.0,31,23,279,833,1970,Tuesday,6.0,6.0,1166,19.0,3.2
1503960366,2016-04-20,1,360,377,2016-04-27,18134,12.210000038147,12.210000038147,0.0,6.40000009536743,0.409999996423721,5.40999984741211,0.0,78,11,243,1108,2159,Wednesday,6.0,6.0,1440,24.0,6.8
1503960366,2016-04-20,1,360,377,2016-04-23,14371,9.03999996185303,9.03999996185303,0.0,2.80999994277954,0.870000004768372,5.3600001335144,0.0,41,21,262,732,1949,Saturday,6.0,6.0,1056,18.0,3.7
1503960366,2016-04-20,1,360,377,2016-05-10,12207,7.76999998092651,7.76999998092651,0.0,3.34999990463257,1.1599999666214,3.25999999046326,0.0,46,31,214,746,1859,Tuesday,6.0,6.0,1037,17.0,4.5
1503960366,2016-04-20,1,360,377,2016-05-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,Thursday,6.0,6.0,1440,24.0,0.0
1503960366,2016-04-20,1,360,377,2016-05-08,10060,6.57999992370605,6.57999992370605,0.0,3.52999997138977,0.319999992847443,2.73000001907349,0.0,44,8,203,574,1740,Sunday,6.0,6.0,829,14.0,3.8
1503960366,2016-04-20,1,360,377,2016-05-09,12022,7.71999979019165,7.71999979019165,0.0,3.45000004768372,0.529999971389771,3.74000000953674,0.0,46,11,206,835,1819,Monday,6.0,6.0,1098,18.0,4.0
1503960366,2016-04-20,1,360,377,2016-05-02,14727,9.71000003814697,9.71000003814697,0.0,3.21000003814697,0.569999992847443,5.92000007629395,0.0,41,15,277,798,2004,Monday,6.0,6.0,1131,19.0,3.8
1503960366,2016-04-20,1,360,377,2016-05-11,12770,8.13000011444092,8.13000011444092,0.0,2.55999994277954,1.00999999046326,4.55000019073486,0.0,36,23,251,669,1783,Wednesday,6.0,6.0,979,16.0,3.6
1503960366,2016-04-20,1,360,377,2016-04-16,12669,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,1863,Saturday,6.0,6.0,1040,17.0,3.1
1503960366,2016-04-20,1,360,377,2016-04-17,9705,6.48000001907349,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38,20,164,539,1728,Sunday,6.0,6.0,761,13.0,4.0
1503960366,2016-04-20,1,360,377,2016-04-22,12764,8.13000011444092,8.13000011444092,0.0,4.76000022888184,1.12000000476837,2.24000000953674,0.0,66,27,130,1217,1827,Friday,6.0,6.0,1440,24.0,5.9
1503960366,2016-04-20,1,360,377,2016-04-14,10460,6.73999977111816,6.73999977111816,0.0,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30,11,181,1218,1776,Thursday,6.0,6.0,1440,24.0,2.8
1503960366,2016-04-20,1,360,377,2016-05-04,11100,7.15000009536743,7.15000009536743,0.0,2.46000003814697,0.870000004768372,3.8199999332428,0.0,36,22,203,1179,1819,Wednesday,6.0,6.0,1440,24.0,3.3
1503960366,2016-04-20,1,360,377,2016-04-24,10039,6.40999984741211,6.40999984741211,0.0,2.92000007629395,0.209999993443489,3.27999997138977,0.0,39,5,238,709,1788,Sunday,6.0,6.0,991,17.0,3.1
1503960366,2016-04-20,1,360,377,2016-04-21,9819,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,1775,Thursday,6.0,6.0,1076,18.0,1.7
1503960366,2016-04-20,1,360,377,2016-04-18,13019,8.59000015258789,8.59000015258789,0.0,3.25,0.639999985694885,4.71000003814697,0.0,42,16,233,1149,1921,Monday,6.0,6.0,1440,24.0,3.9
1503960366,2016-04-20,1,360,377,2016-04-15,9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745,Friday,6.0,6.0,998,17.0,3.4
1503960366,2016-04-20,1,360,377,2016-04-20,10544,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,1786,Wednesday,6.0,6.0,1063,18.0,2.4
1503960366,2016-04-20,1,360,377,2016-05-03,15103,9.65999984741211,9.65999984741211,0.0,3.73000001907349,1.04999995231628,4.88000011444092,0.0,50,24,254,816,1990,Tuesday,6.0,6.0,1144,19.0,4.8
1503960366,2016-04-20,1,360,377,2016-04-19,15506,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,2035,Tuesday,6.0,6.0,1120,19.0,4.9
